COMPONENT,LOINC_NUM
Porphyrin fractions panel,58732-9
Mycoplasma pneumoniae Ab.IgG & IgM panel,58733-7
Alpha-1-fetoprotein panel,58735-2
Manganese panel,58736-0
Inflammatory bowel disease Ab 7 panel,59059-6
Lymphocyte proliferation panel,59063-8
Lipoprofile panel,59062-0
Surgical operative note panel,59270-9
Hospital discharge summary panel,59271-7
Morse Fall Scale panel,59453-1
Procedure note - recommended C-CDA R1.1 sections,59843-3
"North American Association of Central Cancer Registries, Inc (NAACCR, Inc) version 12 panel",59852-4
Borrelia burgdorferi Ab.IgM bands panel,60343-1
Borrelia burgdorferi Ab.IgG bands panel,60342-3
HEDIS 2011 panel,60442-1
CDC Immunization panel,60484-3
Respiratory pathogens DNA & RNA 12b panel,60566-7
Comprehensive pathology report panel,60567-5
Cell count & Differential panel,60587-3
Test of Infant Motor Performance Version 5.1,60687-1
PROMIS short form - physical function 10a - version 1.0,62199-5
PROMIS short form - sleep impairment 8a - version 1.0,62198-7
PROMIS short form - sleep disturbance 8b - version 1.0,62197-9
PROMIS short form - satisfaction with participation in social roles 7a - version 1.0,62196-1
PROMIS short form - satisfaction with participation in DSA 7a - version 1.0,62195-3
PROMIS short form - pain behavior 7a - version 1.0,62194-6
PROMIS short form - pain interference 6b - version 1.0,62193-8
PROMIS short form - fatigue 7a - version 1.0,62192-0
PROMIS short form - emotional distress - depression 8b - version 1.0,62191-2
PROMIS short form - emotional distress - anxiety 7a - version 1.0,62190-4
PROMIS short form - emotional distress - anger 8a - version 1.0,62189-6
PROMIS pediatric short form - emotional distress - anxiety 8a - version 1.0,62186-2
PROMIS pediatric short form - emotional distress - anger - version 1.0,62180-5
PROMIS pediatric item bank - physical function - upper extremity - version 1.0,62171-4
PROMIS pediatric item bank - peer relationships - version 1.0,62155-7
PROMIS pediatric item bank - pain interference - version 1.0,62141-7
PROMIS pediatric item bank - physical function - mobility - version 1.0,62117-7
PROMIS pediatric item bank - fatigue - version 1.0,62097-1
PROMIS pediatric short form - depressive symptoms - version 1.0,62085-6
PROMIS pediatric item bank - asthma - version 1.0,62068-2
PROMIS pediatric item bank - emotional distress - anxiety - version 1.0,62054-2
PROMIS item bank - satisfaction with participation in roles - version 1.0,62039-3
PROMIS item bank - satisfaction with participation in DSA - version 1.0,62026-0
PROMIS item bank - sleep related impairment - version 1.0,62010-4
PROMIS item bank - sleep disturbance - version 1.0,61982-5
PROMIS item bank - emotional distress - depression - version 1.0,61952-8
PROMIS item bank - emotional distress - anxiety - version 1.0,61922-1
PROMIS item bank - emotional distress - anger - version 1.0,61892-6
PROMIS item bank - fatigue - version 1.0,61795-1
PROMIS item bank - pain interference - version 1.0,61753-0
PROMIS item bank - physical function - version 1.0,61587-2
PROMIS short form - global - version 1.1,61576-5
PROMIS item bank - pain behavior - version 1.0,62212-6
PROMIS pediatric short form - physical function - mobility 8a - version 1.0,62206-8
PROMIS pediatric short form - physical function - upper extremity 8a - version 1.0,62207-6
PROMIS pediatric short form - fatigue 10a - version 1.0,62210-0
PROMIS pediatric short form - peer relationships 8a - version 1.0,62209-2
PROMIS pediatric short form - asthma 8a - version 1.0,62208-4
PROMIS pediatric short form - pain interference 8a - version 1.0,62211-8
PhenX domain - Nutrition and dietary supplements,62263-9
PhenX - recumbent length protocol 020702,62295-1
PhenX - ethnicity protocol 010501,62299-3
PhenX - current age protocol 010101,62293-6
PhenX - self reported height protocol 020704,62296-9
PhenX - knee height protocol 020701,62335-5
PROMIS item bank - 57 profile,62338-9
PROMIS item bank - 43 profile,62336-3
PROMIS item bank - 29 profile,62337-1
Borrelia burgdorferi Ab.IgG+IgM with reflex to immune blot panel,62341-3
Confusion Assessment Method (CAM),52495-9
Chromosome analysis master panel,62389-2
PhenX - standing height protocol 020703,62294-4
PhenX - family history heart attack protocol 040101,62390-0
PhenX - lipid profile protocol 040201,62391-8
PhenX - blood pressure protocol 040301,62392-6
PhenX - preg high blood pressure protocol 040401,62393-4
PhenX - heart valve func protocol 040501,62394-2
PhenX - angina protocol 040601,62395-9
PhenX - sudden cardiac arrest protocol 040701,62396-7
PhenX - myocardial infarct protocol 040801,62397-5
PhenX - periph arterial disease protocol 040901,62398-3
PhenX - abd aortic aneurysm protocol 041001,62399-1
PhenX - arrhythmia protocol 041101,62400-7
PhenX - deep venous thrombosis protocol 041201,62401-5
PhenX - pulmonary embolus protocol 041301,62402-3
PhenX - rheumatic fever protocol 041401,62403-1
PhenX - arm span protocol 020101,62404-9
PhenX - birth weight protocol 020201,62405-6
PhenX - child head circum protocol 020501,62406-4
PhenX - hip circumference protocol 020801,62409-8
PhenX - max adult ht protocol 020901,62410-6
PhenX - max adult wt protocol 021001,62411-4
PhenX - upper arm circ protocol 021101,62412-2
PhenX - neck circ protocol 021201,62413-0
PhenX - pregnancy wt gain protocol 021301,62414-8
PhenX - wt loss - gain protocol 021401,62415-5
PhenX - weight - measured weight protocol 021501,62297-7
PhenX - weight - self reported weight protocol 021502,62298-5
Bordetella sp DNA panel,62426-2
"PhenX domain - Alcohol, tobacco & other substances",62541-8
PhenX domain - Environmental exposures,62512-9
PhenX domain - Cancer,62557-4
PhenX domain - Oral health,62576-4
PhenX domain - Respiratory,62611-9
PhenX domain - Reproductive health,62642-4
PhenX domain - Psychiatric,62710-9
PhenX domain - Ocular,62677-0
PhenX domain - Neurology,62755-4
PhenX domain - Diabetes,62787-7
PhenX domain - Physical activity and physical fitness,62812-3
PhenX domain - Infectious diseases and immunity,62863-6
"PhenX domain - Skin, bone, muscle and joint",62896-6
PhenX domain - Psychosocial,62911-3
PhenX domain - Gastrointestinal,62949-3
PhenX - birthplace protocol 010201,63046-7
PhenX - birthplace of parents protocol 010301,63048-3
PhenX - birthplace of grandparents protocol 010401,63050-9
PhenX - current address protocol 010801,63052-5
PhenX - current marital status protocol 010901,63054-1
PhenX - current educational attainment protocol 011001,63056-6
PhenX - annual family income protocol 011101,63058-2
PhenX - years living in the U.S. protocol 011201,63060-8
PhenX - current employment status protocol 011301,63062-4
PhenX - household roster-relationships protocol 011401,63064-0
PhenX - health insurance coverage protocol 011501,63066-5
PhenX domain - Speech and hearing,63067-3
PhenX domain - Social environments,63009-5
Human coronavirus RNA panel,63430-3
Nut allergen panel,63486-5
PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,63520-1
PhenX - body image protocol 020401,63522-7
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,64017-7
Clozapine & Norclozapine panel,65632-2
Creatinine 24 hour urine panel,65634-8
KIR genotyping panel,64418-7
Fragile X protein (FMRP) panel,64433-6
End stage renal disease facility survey - OMB CMS form 2744,64323-9
Drugs of abuse 5 panel,65750-2
T-cell helper (CD4) subset panel,65758-5
T-cell subsets CD4 & CD8 panel,65759-3
Framingham Risk Assessments,66336-9
Thromboelastography panel,67790-6
"Vital signs, weight, height, head circumference & oximetry panel",67795-5
HEDIS 2012 panel,67767-4
Babesia identification panel,67866-4
Meperidine & Normeperidine panel,68314-4
Transcortin & Cortisol.free panel,68315-1
"Metanephrine, Normetanephrine & Creatinine panel",68317-7
Hypoglycemics panel,68318-5
Polio virus Ab panel,68320-1
Neuro-Qol short form - stigma - version 1.0,67914-2
Neuro-Qol short form - satisfaction with social roles - version 1.0,67913-4
Neuro-Qol short form - participate in social roles - version 1.0,67912-6
Neuro-Qol short form - positive affect - version 1.0,67911-8
Neuro-Qol short form - emotional - behavioral - version 1.0,67910-0
Neuro-Qol short form - general concerns - version 1.0,67909-2
Neuro-Qol short form - executive function - version 1.0,67908-4
Neuro-Qol short form - lower extremity - version 1.0,67907-6
Neuro-Qol short form - upper extremity - version 1.0,67906-8
Neuro-Qol short form - fatigue - version 1.0,67905-0
Neuro-Qol short form - depression - version 1.0,67904-3
Neuro-Qol short form - anxiety - version 1.0,67903-5
Neuro-Qol item scale - communication - version 1.0,67902-7
Neuro-Qol item bank - stigma - version 1.0,67901-9
Neuro-Qol item bank - satisfaction with social roles - version 1.0,67900-1
Neuro-Qol item bank - participate in social roles - version 1.0,67899-5
Neuro-Qol item bank - sleep disturbance - version 1.0,67898-7
Neuro-Qol item bank - positive affect - version 1.0,67897-9
Neuro-Qol item bank - emotional - behavioral dyscontrol - version 1.0,67896-1
Neuro-Qol item bank - general concerns - version 1.0,67895-3
Neuro-Qol item bank - executive function - version 1.0,67894-6
Neuro-Qol item bank - lower extremity - version 1.0,67893-8
Neuro-Qol item bank - upper extremity - version 1.0,67892-0
Neuro-Qol item bank - fatigue - version 1.0,67891-2
Neuro-Qol item bank - depression - version 1.0,67890-4
Neuro-Qol item bank - anxiety - version 1.0,67889-6
Neuro-Qol pediatric short form - fatigue - version 1.0,68141-1
Neuro-Qol pediatric short form - general concerns - version 1.0,68140-3
Neuro-Qol pediatric short form - peer interaction - version 1.0,68139-5
Neuro-Qol pediatric short form - depression - version 1.0,68138-7
Neuro-Qol pediatric short form - stigma - version 1.0,68137-9
Neuro-Qol pediatric short form - anxiety - version 1.0,68136-1
Neuro-Qol pediatric item scale - upper extremity - version 1.0,68135-3
Neuro-Qol pediatric item scale - lower extremity - version 1.0,68134-6
Neuro-Qol pediatric item bank - pain - version 1.0,68133-8
Neuro-Qol pediatric item bank - fatigue - version 1.0,68132-0
Neuro-Qol pediatric item bank - general concerns - version 1.0,68131-2
Neuro-Qol pediatric item bank - adult interaction - version 1.0,68130-4
Neuro-Qol pediatric item bank - peer interaction - version 1.0,68129-6
Neuro-Qol pediatric item bank - anger - version 1.0,68128-8
Neuro-Qol pediatric item bank - anxiety - version 1.0,68127-0
Neuro-Qol pediatric item bank - depression - version 1.0,68126-2
Neuro-Qol pediatric item bank - stigma - version 1.0,68125-4
Fentanyl & Norfentanyl panel,67822-7
"End stage renal disease medical evidence report, medicare entitlement &or patient registration - OMB CMS form 2728",67868-0
End stage renal disease death notification - OMB CMS form 2746,68359-9
Treponema pallidum Ab.IgG & IgM panel,68502-4
Serotonin release.heparin.unfractionated & low molecular weight panel,68501-6
Core behavioral and psychosocial data elements for the electronic health record,68899-4
PFGE panel,68982-8
Epidemiologically important information for public health reporting panel,68991-9
Specimen-related information panel,68992-7
Buprenorphine & Norbuprenorphine panel,69033-9
Amphetamines panel,69021-4
Opiates panel,69026-3
Cocaine panel,69008-1
Western equine encephalitis virus Ab.IgG & IgM panel,69036-2
Eastern equine encephalitis virus Ab.IgG & IgM panel,69035-4
Eastern equine encephalitis virus Ab.IgG & IgM panel,69034-7
Western equine encephalitis virus Ab.IgG & IgM panel,69041-2
Enterocyte Ab panel,69039-6
Chronic urticaria index panel,69040-4
Lymphocyte proliferation mitogen panel,69018-0
Lymphocyte proliferation antigen panel,69042-0
Hemogram WO platelets panel,24358-4
Urinalysis type of cast panel,53330-7
Continuity assessment record and evaluation tool - long term care hospital - version 1.0,69412-5
Care record summary panel,69459-6
Outpatient physical therapy improvement in movement assessment log,69492-7
Thromboelastography after addtion of heparinase panel,69552-8
Lactose tolerance panel^dosage unspecified,69555-1
Lactose tolerance panel^dosage unspecified,69554-4
Bacterial vaginosis DNA & score panel,69571-8
Patient health questionnaire 4 item,69724-3
Patient health questionnaire,69723-5
"Patient Health Questionnaire-somatic, anxiety, and depressive symptoms",69729-2
Patient health questionnaire 15 item,69728-4
Tissue transglutaminase Ab.IgA+gliadin peptides Ab.IgA & IgG panel,69726-8
Generalized anxiety disorder 7 item,69737-5
"Complete blood count W Differential panel, method unspecified",69742-5
Drugs of abuse panel,69739-1
Cell count & Differential panel,59257-6
"Differential panel, method unspecified",69738-3
Cell count panel,69740-9
Differential panel,69741-7
"Race, ethnicity, sex, primary language, disability - Health & Human Services (HHS) panel",69919-9
Bordetella sp filamentous hemagglutinin & pertussis toxin Ab.IgA & IgG panel,69756-5
Rickettsia typhus group & Rickettsia spotted fever group acute & convalescent Ab.IgG & IgM panel,70130-0
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,70164-9
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,70163-1
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,70162-3
Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel,70161-5
NIH stroke scale,70182-1
Basic metabolic 2008 panel with ionized calcium,70219-1
Post traumatic stress disorder checklist - civilian version,70221-7
Functional assessment of chronic illness therapy - cancer specific symptom indexes panel,70506-1
Functional assessment of chronic illness therapy - cancer specific measures panel,70505-3
Functional assessment of chronic illness therapy - general measures panel,70504-6
Functional assessment of chronic illness therapy - treatment specific measures panel,70672-1
Functional assessment of chronic illness therapy - symptom specific measures panel,70674-7
General eye evaluation,70947-7
Functional assessment of chronic illness therapy - non cancer specific measures panel,70673-9
Dialysis adequacy panel,70300-9
Patient information panel,70297-7
Mineral metabolism panel,70298-5
Anemia management panel,70299-3
Edinburgh Postnatal Depression Scale,71354-5
CMS - past family - social history panel,71421-2
CMS - review of systems panel,71406-3
CMS - physical exam panel,71388-3
CMS - history of present illness panel,71428-7
Human papilloma virus 16 & 18 & 31+33+35+39+45+51+52+56+58+59+66+68 DNA panel,71432-9
Infection panel,71459-2
Erythropoiesis-stimulating agent panel,71457-6
M3 Checklist,71569-8
Facility panel,71747-0
Personnel contact information panel,71746-2
Hospitalization panel,71531-8
Mycobacterium tuberculosis stimulated gamma interferon panel,71775-1
M3 Checklist - follow-up,71891-6
Veterans RAND health survey - 36 item,71933-6
Veterans RAND health survey - 12 item,71934-4
Fluid and weight panel,72084-7
Iron panel,72068-0
Vaccination panel,72061-5
Medication allergies panel,72062-3
Vascular access panel,72055-7
Vitamin D panel,72034-2
Acute & chronic leukemia fusion transcript panel,72103-5
Hip and knee outcomes questionnaire,71948-4
St. Louis University mental status examination,71947-6
Short informant questionnaire on cognitive decline in the elderly,71946-8
Ascertain dementia 8,71945-0
Minnesota Living with Heart Failure Questionnaire,71939-3
Mini-mental state examination,72107-6
Knee injury and osteoarthritis outcome score,72091-2
Hip dysfunction and osteoarthritis outcome score,72092-0
Ages and stages questionnaires,71954-2
Rwandan maternal screening panel,72156-3
Functional assessment of chronic illness therapy - pediatric measures panel,70675-4
Glucose tolerance 2H panel,72171-2
Montreal cognitive assessment,72133-2
Blessed orientation-memory-concentration test,72087-0
Kansas City cardiomyopathy questionnaire,71941-9
HEDIS 2013 panel,72199-3
Parathyrin.intact intraoperative panel,72203-3
Continuity of Care Document - recommended C-CDA R1.1 sections,72232-2
Consultation note - recommended C-CDA R1.1 sections,72231-4
Diagnostic imaging report - recommended C-CDA R1.1 sections,72230-6
Discharge summary - recommended C-CDA R1.1 sections,72229-8
History and physical note - recommended C-CDA R1.1 & R2.0 & R2.1 sections,72228-0
Surgical operation note - recommended C-CDA R1.1 & R2.0 & R2.1 sections,72227-2
Progress note - recommended C-CDA R1.1 sections,72225-6
Amylase & triacylglycerol lipase panel,72272-8
Bilirubin excess & oxyhemoglobin & methemoglobin & xanthochromia & albumin quotient panel,72264-5
Platelet function.collagen+Adenosine diphosphate induced & EPINEPHrine induced panel,72257-9
Wound dressing panel,72286-8
Nail assessment panel,72283-5
Positive airway pressure panel,69999-1
Patient reported outcome quality of life tool,72355-1
Body site identification panel,72369-2
Synthetic cannabinoids panel,72478-1
Differential panel,72395-7
Cell count panel,72394-0
Cell count & Differential panel,72393-2
Candida sp 6 panel,72481-5
Vital signs with smoking status and pain scale,72513-5
Intrinsic coagulation factor activity 4 panel,72661-2
Extrinsic coagulation factor activity 4 panel,72662-0
"Metanephrine, Normetanephrine, 3-Methoxytyramine & Creatinine panel",72670-3
Cholinesterase activity panel,72694-3
Erythrocyte enzyme panel,72695-0
Beta 2 glycoprotein 1 Ab.IgG & IgM panel,72488-0
Del(13)(q14) & del(17)(p13),72727-1
Chlamydia trachomatis & Neisseria gonorrhoeae DNA panel,72828-7
Drugs of abuse panel,72479-9
Barbiturates panel,72480-7
Methadone panel,72476-5
Cytomegalovirus resistance panel,72852-7
Hepatitis C virus resistance panel,72862-6
CYP2D6 gene & CYP2C19 gene targeted mutation analysis panel,72886-5
Staphylococcus aureus methicillin resistance SCCmec & mecA genes panel,72892-3
HNA genotype panel,72907-9
HNA Ab panel,72906-1
Neutrophil Ab & HLA Ab screen panel,72905-3
Drug induced neutrophil Ab panel,72909-5
Drug induced platelet Ab panel,72908-7
Propoxyphene panel,73660-3
Barbiturates panel,73663-7
Benzodiazepines panel,73662-9
Methadone panel,73661-1
Respiratory syncytial virus Ab.IgG & IgM panel,49037-5
Neonatal skin risk assessment scale panel,73790-8
Bile acid panel,73725-4
Bile acid dihydroxy & trihydroxy panel,73724-7
Chronic lyme disease panel,73897-1
Catecholamines 3 panel,73865-8
Catecholamine metabolites & creatinine panel,73879-9
Catecholamines 3 & creatinine panel,73866-6
Steroid fractions panel,73886-4
Steroid fractions panel,73885-6
7-Dehydrocholesterol & 8-Dehydrocholesterol panel,73852-6
Noninvasive prenatal fetal aneuploidy panel,73967-2
Keyhole limpet hemocyanin Ab panel,73979-7
Virtual medical record for clinical decision support panel,74028-2
Arbovirus Ab.IgM panel,74032-4
Periodontal attachment - recommended CDA set,74029-0
Patient safety event report - hospital - medication or other substance - version 1.2,74080-3
Healthcare associated infection report - recommended CDA R2 sections,51896-9
Weight difference pre dialysis & post dialysis panel,74219-7
HEDIS 2014 Value Sets,74234-6
Oncology plan of care and summary - recommended CDA set,74293-2
Mycobacterium tuberculosis stimulated gamma interferon & spot count panel,74281-7
Cryoglobulin & cryofibrinogen panel,74352-6
Sodium & Potassium panel,74353-4
MICA Ab.IgG panel,74409-4
Polychlorinated biphenyl panel,74410-2
Complete blood count W Differential panel,74412-8
Gamma aminobutyrate free and total panel,74439-1
Sugars and polyols panel,74447-4
Porphyrin fractions panel,74445-8
Calculus analysis panel,74446-6
Patient plan of care - recommended IHE set,74449-0
Middle east respiratory syndrome coronavirus RNA panel,74408-6
Complement activity panel,74519-0
Patient safety event report - hospital - summary of initial report - version 1.2,74501-8
Patient safety event report - hospital - healthcare event reporting form - version 1.2,74495-3
Tryptophan-related indole profiling panel,74545-5
Fatty acid oxidation panel,74533-1
"Delta aminolevulinate, porphobilinogen and creatinine panel",74527-3
"Delta aminolevulinate, porphobilinogen and creatinine panel",74526-5
Amino acids panel,74514-1
Patient safety event report - hospital - patient information form - version 1.2,74502-6
"Patient safety event report - hospital - device or medical &or surgical supply, including health information technology - version 1.2",74725-3
"Vital signs, weight, height, head circumference, oximetry, BMI, & BSA panel",74728-7
Bacterial vaginosis DNA panel,74635-4
Dimethylacetal panel,74634-7
Dimethylacetal panel,74633-9
Influenza virus B Victoria & Yamagata lineage RNA panel,74787-3
Glucose challenge panel,74790-7
Fructose challenge panel,74789-9
Lactulose challenge panel,74788-1
Metanephrine & Normetanephrine panel,74831-9
Immunoglobulin light chains & heavy chains panel,74773-3
Acylglycines panel,74914-3
ERBB2 gene duplication associated observations panel,74885-5
Metabolic disorder therapy monitoring panel,74874-9
Porphyrin fractions & creatinine panel,74910-1
Cerebroside sulfatase & N-Acetylgalactosamine-4-Sulfatase panel,74978-8
Amino acids panel,74991-1
Chloride & sodium panel,74993-7
OLANZapine panel,75021-6
Porphyrin fractions panel,74835-0
Congenital syphilis case investigation and report panel,75199-0
Sterols panel,74888-9
Norton scale panel,75243-6
Disability information & assistance needed panel,75256-8
PROMIS short form - pain intensity 3a - version 1.0,75259-2
PROMIS short form - sleep disturbance 4a - version 1.0,75258-4
Nutrition assessment panel,75282-4
Nutrition status observation panel,75304-6
PCORI patient-reported outcomes common measures - core and recommended,75418-4
Lupus anticoagulant two screening tests W Reflex panel,75515-7
Noninvasive prenatal fetal aneuploidy and microdeletion panel,75547-0
HIV 1 & 2 tests - Meaningful Use set,75622-1
TNM clinical staging before treatment panel,75620-5
TNM pathologic staging after surgery panel,75621-3
Rheumatoid arthritis disease activity panel,75635-3
Electrolytes 3 panel,75641-1
Electrolytes 3 panel,75667-6
Dartmouth COOP Functional Assessment Charts - 4 weeks,75743-5
Dartmouth COOP Functional Assessment Charts - 2 weeks,75742-7
Iron panel,75689-0
Advance directives panel,75772-4
Antihistamines panel,75814-4
Antipsychotics drug panel,75815-1
PCORnet common data model set - version 1.0,75854-0
Bilirubin fractions panel,75697-3
Hepatitis A virus RNA & Parvovirus B19 DNA panel,75860-7
HEDIS 2015 Value Sets,75868-0
Patient activity scale II,75876-3
Patient activity scale,75877-1
Lupus anticoagulant three screening tests W Reflex panel,75881-3
HCV RNA screening tests - Meaningful Use set,75888-8
HCV antibody RIBA tests - Meaningful Use set,75887-0
HCV antibody screening tests - Meaningful Use set,75886-2
PROMIS short form - pain interference 8a - version 1.0,75870-6
Sterols panel,75858-1
Advance directives panel,75911-8
IEEE Rosetta panel,75885-4
Abbreviated Injury Scale panel,76067-8
Alcohol use disorder identification test-consumption,72109-2
Respiratory pathogens DNA & RNA 4 panel,76091-8
Sugar absorption test panel,76133-8
American Physical Therapy Association Registry panel,76464-7
Social connection and isolation panel,76506-5
"Humiliation, Afraid, Rape, and Kick questionnaire",76499-3
Acetylcholinesterase panel,76478-7
Respiratory pathogens RNA 8 panel,76771-5
Trace elements panel,76770-7
PROMIS short form - emotional support 8a - version 2.0,76736-8
PROMIS short form - emotional support 4a - version 2.0,76735-0
PROMIS short form - emotional support 6a - version 2.0,76734-3
PROMIS short form - companionship 6a - version 2.0,76733-5
PROMIS short form - companionship 4a - version 2.0,76732-7
PROMIS short form - ability to participate in social roles and activities 8a - version 2.0,76731-9
PROMIS short form - satisfaction with participation in social roles 4a - version 1.0,76704-6
PROMIS short form - sleep disturbance 6a - version 1.0,76703-8
PROMIS short form - physical function 20a - version 1.0,76702-0
PROMIS short form - satisfaction with participation in social roles 8a - version 1.0,76701-2
PROMIS short form - physical function 4a - version 1.0,76700-4
PROMIS short form - fatigue 4a - version 1.0,76342-5
PROMIS short form - emotional distress - depression 4a - version 1.0,76343-3
PROMIS short form - emotional distress - anxiety 4a - version 1.0,76344-1
Porphyrin fractions panel,77009-9
Energy content panel,77151-9
Anaplasma phagocytophilum & Ehrlichia chaffeensis IgG panel,77165-9
Chlamydia sp Ab.IgG & IgM panel,77166-7
Coxiella burnetii phase 1 & 2 Ab.IgG & IgM panel,77175-8
Hepatitis B virus little e Ag & Ab panel,77176-6
Hepatitis B virus core & surface Ab & surface Ag panel,77190-7
Weight management summary - recommended IHE set,77249-1
Mumps virus IgG & IgM panel,77250-9
Beta-2 transferrin panel,77347-3
Metanephrine.free & Normetanephrine.free & 3-Methoxytyramine.free panel,77366-3
Nitrogen panel,77365-5
"Tryptophan, kynurenin & 3-hydroxykynurenin panel",77364-8
clomiPRAMINE trough & clomiPRAMINE+Norclomipramine trough & Norclomipramine panel,77374-7
Human papilloma virus 16 & 18 & 31+33+35+39+45+51+52+56+58+59+66+68 DNA panel,77378-8
Human papilloma virus 16 & 18 & 31+33+35+39+45+51+52+56+58+59+66+68 DNA panel,77376-2
Protein fractions panel,77381-2
DNA analysis discrete sequence variation basic associated observations panel,77313-5
Chromosome analysis basic associated observations panel,77314-3
Mumps virus IgG & IgM index associated observations panel,77398-6
Measles virus Ab.IgG associated observations panel,77310-1
PROMIS item bank - alcohol - negative expectancies - version 1.0,76940-6
PROMIS item bank - alcohol - positive outcomes - version 1.0,76939-8
PROMIS item bank - alcohol - negative consequences - version 1.0,76938-0
PROMIS item bank - alcohol - alcohol use - version 1.0,76899-4
PROMIS item bank - alcohol - positive expectancies - version 1.0,76889-5
PROMIS item bank - social isolation - version 2.0,76806-9
PROMIS item bank - instrumental support - version 2.0,76791-3
PROMIS item bank - informational support - version 2.0,76790-5
PROMIS item bank - emotional support - version 2.0,76789-7
PROMIS item bank - companionship - version 2.0,76788-9
PROMIS item bank - ability to participate in social roles and activities - version 2.0,76787-1
PROMIS item bank - satisfaction with social roles and activities - version 2.0,76774-9
American National Adult Reading Test panel,77547-8
Brief Pain Inventory short form - pain interference panel,77564-3
Respiratory pathogens DNA & RNA 14 panel,77029-7
ENT microorganism gene identification panel,76586-7
Wound microorganism gene identification panel,76585-9
Lysosomal acid lipase panel,76621-2
Mitochondrial respiratory chain enzyme analysis panel,76623-8
Noninvasive prenatal fetal 18 & 21 aneuploidy panel,77019-8
Noninvasive prenatal fetal 13 & 18 & 21 aneuploidy panel,77018-0
Breast cancer 10Y risk of distant recurrence panel,76546-1
Salivary gland protein 1 & Carbonic anhydrase 6 & Parotid secretory protein Ab.IgA & IgG & IgM panel,77217-8
Antipsychotics drug panel,76659-2
Chlamydia trachomatis & Neisseria gonorrhoeae DNA panel,77577-5
HYDROcodone & metabolites panel,74760-0
Soluble fms-like tyrosine kinase-1 & placental growth factor panel,74764-2
International Physical Activity Questionnaire self-administered short form,77582-5
HLA class I & II Ab.IgG panel,77639-3
Unified Parkinson's Disease Rating Scale panel,77717-7
PROMIS short form - instrumental support 8a - version 2.0,76797-0
PROMIS short form - instrumental support 6a - version 2.0,76796-2
PROMIS short form - instrumental support 4a - version 2.0,76795-4
PROMIS short form - informational support 8a - version 2.0,76794-7
PROMIS short form - informational support 6a - version 2.0,76793-9
PROMIS short form - informational support 4a - version 2.0,76792-1
Mycobacterium abscessus complex clarithromycin resistance erm(41) gene panel,77737-5
HTLV I & II panel,77742-5
PROMIS short form - alcohol - positive consequences 7a - version 1.0,77007-3
PROMIS short form - alcohol - positive expectancies 7a - version 1.0,77006-5
PROMIS short form - alcohol - negative expectancies 7a - version 1.0,77005-7
PROMIS short form - alcohol - negative consequences 7a - version 1.0,77004-0
PROMIS short form - alcohol - alcohol use 7a - version 1.0,77003-2
PROMIS short form - physical function 8b - version 1.2,76805-1
PROMIS short form - physical function 6b - version 1.2,76804-4
PROMIS short form - social isolation 8a - version 2.0,76803-6
PROMIS short form - social isolation 6a - version 2.0,76802-8
PROMIS short form - social isolation 4a - version 2.0,76801-0
PROMIS short form - satisfaction with social roles and activities 8a - version 2.0,76800-2
PROMIS short form - satisfaction with social roles and activities 6a - version 2.0,76799-6
PROMIS short form - satisfaction with social roles and activities 4a - version 2.0,76798-8
Case notification panel,78000-7
HLA-A & B & DRB & DQB1 panel,78013-0
Tumor morphology panel,77753-2
Pharmacogenomic analysis basic associated observations panel,78046-0
Fatty acid & triglyceride panel,78361-3
Fatty acid panel.comprehensive C8-C26,78344-9
Imipramine trough & Imipramine+desimipramine trough & Desipramine panel,78365-4
Mirtazapine trough & Normirtazapine panel,78435-5
Primidone & PHENobarbital trough panel,78436-3
"carBAMazepine free & total trough & 10,11-Epoxide panel",78434-8
Fluoxetine trough & Fluoxetine+norfluoxetine trough & Norfluoxetine panel,78437-1
Sertraline trough & Norsertraline panel,78438-9
Phenytoin free & total trough panel,78439-7
Risperidone trough & 9-Hydroxyrisperidone panel,78440-5
Bordetella pertussis & Bordetella parapertussis panel,78921-4
Respiratory pathogens DNA & RNA panel,78922-2
General Practitioner Assessment of Cognition,79115-2
Cold agglutinin panel,79160-8
Patient demographics panel,79191-3
Gastrointestinal pathogens panel,79381-0
Aldosterone & renin concentration panel,78960-2
Steroid fractions panel,79221-8
Carnitine biosynthesis intermediates panel,79287-9
Carnitine biosynthesis intermediates panel,79286-1
Carnitine biosynthesis intermediates panel,79285-3
Carnitine biosynthesis intermediates panel,79284-6
"Creatine, guanidinoacetate & creatinine panel",79290-3
Creatine & guanidinoacetate panel,79289-5
Creatine & guanidinoacetate panel,79288-7
D- & L-2-hydroxyglutarate panel,79294-5
D- & L-2-hydroxyglutarate panel,79295-2
D- & L-2-hydroxyglutarate panel,79296-0
D- & L-2-hydroxyglutarate panel,79297-8
D- & L-2-hydroxyglutarate panel,79298-6
Pyridoxal phosphate & pyridoxal & pyridoxine panel,79325-7
Pyridoxal phosphate & pyridoxal & pyridoxine panel,79324-0
Nortriptyline & E-10-hydroxynortriptyline & Z-10-hydroxynortriptyline panel,79161-6
